Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short delta,Previous volume delta,Open/Close change
CLNY,20201020,885659.0,15.0,3039164.0,Q/N,3.1,3.16,0.03268,0.2914153365859822,0.2914153365859822,3039164.0,0.019354838709677438
CLSK,20201020,535127.0,8034.0,1969495.0,B/Q/N,9.28,9.0,-0.028078,0.27170772203026666,0.27170772203026666,1969495.0,-0.03017241379310338
CLVS,20201020,1043059.0,11626.0,3447911.0,B/Q/N,5.71,5.725,0.0008740000000000001,0.3025191195480394,0.009645329541162095,-501285.0,0.002626970227670697
CMCSA,20201020,494308.0,4848.0,13137584.0,B/Q/N,44.63,44.27,-0.001353,0.03762548730421058,-0.029896372927290978,-4382816.0,-0.00806632310105309
CMRE,20201020,682434.0,5504.0,2087087.0,B/Q/N,6.88,7.38,0.086892,0.3269791819890594,0.3269791819890594,2087087.0,0.07267441860465117
CNK,20201020,1667289.0,2051.0,9104905.0,B/Q/N,8.48,8.65,0.030989,0.18311986780751693,0.021762488656226348,-10338476.0,0.020047169811320747
CNP,20201020,654949.0,711.0,5832032.0,B/Q/N,20.92,21.34,0.025962,0.11230202440590176,0.11230202440590176,5832032.0,0.020076481835563962
COLD,20201020,232096.0,0.0,3927649.0,B/Q/N,36.61,36.89,0.015414,0.05909285682096338,0.05909285682096338,3927649.0,0.007648183556405385
COP,20201020,2548753.0,17999.0,19244986.0,B/Q/N,32.91,32.58,-0.00367,0.13243724885016803,0.01735686847276055,-2439162.0,-0.010027347310847716
COTY,20201020,1034906.0,1954.0,4901935.0,B/Q/N,3.27,3.24,0.009346,0.21112193450137548,0.054914363993562365,-2645881.0,-0.009174311926605444
CPE,20201020,603597.0,10216.0,2876829.0,B/Q/N,4.53,4.73,0.04415,0.20981330485753585,-0.05445989164542453,458555.0,0.044150110375275976
CPHI,20201020,754623.0,5454.0,2750235.0,Q/N,0.42,0.4647,0.133968,0.27438491619807037,0.27438491619807037,2750235.0,0.10642857142857147
CRBP,20201020,1974980.0,3846.0,5834421.0,B/Q/N,1.01,0.9796,-0.039608,0.338504883346608,-0.03594466551134207,371175.0,-0.03009900990099008
CRM,20201020,360517.0,1084.0,2989655.0,B/Q/N,256.12,255.97,0.003765,0.1205881615102746,0.1205881615102746,2989655.0,-0.0005856629704826085
CRSR,20201020,1268813.0,5204.0,9009911.0,B/Q/N,22.57,22.97,0.145065,0.14082414354592404,-0.026692585466412233,5002950.0,0.017722640673460282
CRWD,20201020,584174.0,823.0,2572474.0,B/Q/N,145.285,142.64,-0.013964,0.22708645451810203,0.060508065528551175,-576680.0,-0.01820559589771835
CSCO,20201020,1521578.0,27129.0,16564890.0,B/Q/N,39.44,39.2,-0.002545,0.09185560544018101,-0.012599207011727023,-3035576.0,-0.006085192697768633
CSIQ,20201020,2129528.0,10707.0,7405436.0,B/Q/N,39.75,44.12,0.118094,0.28756281196677685,0.10683699019212362,4905511.0,0.10993710691823894
CTRM,20201020,2217618.0,29712.0,9094839.0,Q/N,0.156,0.15,-0.037845,0.2438325736167512,0.048462643196622746,4414175.0,-0.0384615384615385
CVS,20201020,878145.0,6462.0,7590649.0,B/Q/N,59.04,59.43,0.011057999999999998,0.11568773631872584,0.00206415537313058,606773.0,0.006605691056910579
CVX,20201020,667175.0,11956.0,7753247.0,B/Q/N,71.905,71.68,0.005612000000000001,0.08605104416252958,-0.0076487849280631875,-603812.0,-0.003129128711494254
CX,20201020,1232770.0,62444.0,7380672.0,B/Q/N,4.04,4.2,0.037037,0.16702679647598484,0.16702679647598484,7380672.0,0.03960396039603964
CXO,20201020,377628.0,122.0,7421354.0,B/Q/N,47.57,47.11,-0.003174,0.050883976158528486,-0.0292283528300323,-5854293.0,-0.009669960058860644
DAL,20201020,2415708.0,10583.0,14244280.0,B/Q/N,31.97,31.98,0.015238,0.1695914430213391,0.01372158947781299,-344423.0,0.00031279324366598573
DB,20201020,513131.0,0.0,3616456.0,B/Q/N,9.6,9.6,0.034483,0.14188780397162304,0.14188780397162304,3616456.0,0.0
DBEF,20201020,24120.0,2400.0,1533271.0,Q/N,31.0,30.94,0.003568,0.015731074284976367,0.015731074284976367,1533271.0,-0.0019354838709677007
DDD,20201020,695821.0,23688.0,3947841.0,B/Q/N,7.09,7.14,0.027338,0.176253552258057,0.025043485620294986,-1382320.0,0.007052186177715067
DHF,20201020,556414.0,0.0,3074399.0,B/Q/N,2.7,2.73,0.01676,0.18098301489169102,-0.011775931375416826,135324.0,0.011111111111111039
DHT,20201020,809887.0,1000.0,2854383.0,B/Q/N,5.09,5.1,0.005917,0.28373452336284233,0.28373452336284233,2854383.0,0.001964636542239644
DHY,20201020,654975.0,0.0,2834517.0,Q/N,2.12,2.12,0.014354,0.2310711137029695,0.026096073017042032,-1017552.0,0.0
DIA,20201020,834824.0,1187.0,3338994.0,B/Q/N,283.16,282.95,0.0032619999999999997,0.2500226116009792,0.2500226116009792,3338994.0,-0.0007416301737534835
DIS,20201020,1134899.0,13019.0,6166070.0,B/Q/N,124.58,124.95,0.005796,0.18405548428739862,0.007502862339414745,-410853.0,0.002969979129876421
DKNG,20201020,16092853.0,260384.0,70239673.0,B/Q/N,43.01,42.53,-0.045985,0.22911343849792695,-0.0011330999648819506,20288238.0,-0.011160195303417738
DOYU,20201020,806751.0,1031.0,6155962.0,B/Q/N,16.0,15.18,-0.044081,0.13105197855347386,-0.027369340117966157,2173575.0,-0.05125000000000002
DPHC,20201020,1308353.0,82028.0,5109549.0,B/Q/N,21.46,19.17,-0.118621,0.25606036853741887,0.0026688671430339928,3156358.0,-0.10671015843429632
DS,20201020,1643488.0,34172.0,5328002.0,B/Q/N,1.2,1.54,0.316239,0.3084623466732933,0.04683076891102722,3107452.0,0.28333333333333344
DUST,20201020,315444.0,0.0,3213190.0,B/Q/N,18.59,18.4,-0.013934,0.09817159894061664,0.020908621583343,28547.0,-0.010220548682087213
