Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market
20200918,APXT,22552,0,47421,B/Q/N
20200918,APXTU,2,0,26603,Q
20200918,APXTW,16522,0,28306,Q/N
20200918,APYX,4600,0,9367,Q/N
20200918,AQB,974794,1025,1593360,B/Q/N
20200918,AQMS,139352,10077,276079,Q/N
20200918,AQN,77524,1070,120338,Q/N
20200918,AQNA,1147,0,1618,Q
20200918,AQNB,2342,1000,3191,Q/N
20200918,AQST,259463,3656,546407,B/Q/N
20200918,AQUA,153020,0,262954,Q/N
20200918,AR,1992429,0,4078264,B/Q/N
20200918,ARA,7420,0,8729,Q/N
20200918,ARAV,42908,0,95462,Q/N
20200918,ARAY,873226,15183,1520225,B/Q/N
20200918,ARB,1652,0,1652,Q/N
20200918,ARC,16149,0,28786,Q/N
20200918,ARCB,19367,0,47438,B/Q/N
20200918,ARCC,402231,2930,1041482,B/Q/N
20200918,ARCE,36987,605,430245,B/Q/N
20200918,ARCH,91030,100,199635,B/Q/N
20200918,ARCO,115415,1003,191734,B/Q/N
20200918,ARCT,99235,517,198851,B/Q/N
20200918,ARD,13113,500,22090,Q/N
20200918,ARDC,16242,686,30374,Q/N
20200918,ARDS,3791,0,4189,B/Q/N
20200918,ARDX,78736,550,247920,Q/N
20200918,ARE,86232,113,210632,B/Q/N
20200918,AREC,15405,0,53638,B/Q/N
20200918,ARES,141485,0,180501,B/Q/N
20200918,ARESpA,2352,0,4617,Q
20200918,ARGO,32018,40,75093,Q/N
20200918,ARGOpA,12865,0,34006,Q/N
20200918,ARGT,368,0,2660,Q/N
20200918,ARGX,40892,0,77972,B/Q/N
20200918,ARI,154105,8445,302183,B/Q/N
20200918,ARKF,45210,0,188520,B/Q/N
20200918,ARKG,223681,10837,319981,B/Q/N
20200918,ARKK,452200,0,791271,B/Q/N
20200918,ARKQ,27410,0,88254,B/Q/N
20200918,ARKR,3374,36,11808,Q/N
20200918,ARKW,67435,100,232982,B/Q/N
20200918,ARL,184,0,483,Q/N
20200918,ARLO,106223,0,245699,Q/N
20200918,ARLP,161012,100,557814,B/Q/N
20200918,ARMK,268744,1846,509676,B/Q/N
20200918,ARMP,2588,0,2859,Q/N
20200918,ARMR,13,0,75,Q
20200918,ARNA,54164,219,125793,B/Q/N
20200918,ARNC,186759,755,311403,B/Q/N
20200918,AROC,65484,0,100278,Q/N
20200918,AROW,7250,195,12268,B/Q/N
20200918,ARPO,83792,0,3368397,B/Q/N
20200918,ARQT,35623,0,62451,Q/N
20200918,ARR,122706,1903,381910,B/Q/N
20200918,ARRpC,4904,0,6297,Q/N
20200918,ARTL,9999,0,28168,Q/N
20200918,ARTNA,3166,161,4278,Q/N
20200918,ARTW,348217,2120,578102,B/Q/N
20200918,ARVN,28371,0,82474,Q/N
20200918,ARW,56990,500,79505,Q/N
20200918,ARWR,506161,1721,1081038,B/Q/N
20200918,ARYA,802,0,3152,Q/N
20200918,ARYB,163144,300,423140,B/Q/N
20200918,ARYBU,7883,0,14600,Q/N
20200918,ARYBW,2525,0,3847,Q/N
20200918,ASA,10207,300,25971,Q/N
20200918,ASB,236934,1002,300748,Q/N
20200918,ASBpC,200,0,200,N
